Date,Close,High,Low,Open,Volume
1/1/2021,897.0470581,901.3347986,894.5646443,897.2726941,10015175
1/4/2021,898.559082,902.1923589,888.2458454,900.4772865,24513534
1/5/2021,887.3883057,895.2868192,882.8296825,888.6971735,24123091
1/6/2021,863.986084,887.3431107,859.8788522,887.2979835,46401468
1/7/2021,862.5869141,877.8649187,859.8788642,866.8069639,32325918
1/8/2021,872.7647705,874.8861072,863.0157426,865.6786654,27540187
1/11/2021,856.3132324,875.066569,854.1693322,875.066569,33307825
1/12/2021,883.3036499,884.6350814,857.5092763,858.9084582,41161546
1/13/2021,875.0665894,891.3826994,865.8817711,886.2373626,26619458
1/14/2021,884.9058838,887.7493749,875.1794203,877.8649065,21553242
1/15/2021,874.4572144,890.8635769,866.6038285,884.9058318,20593268
1/18/2021,895.4448242,901.3348793,868.0933816,879.7154869,35100458
1/19/2021,910.0908813,916.680467,900.2741042,900.2741042,32006615
1/20/2021,927.3773804,928.8668167,903.3207031,912.3476353,30924537
1/21/2021,947.5525513,956.8502475,936.5397825,939.6991643,39087742
1/22/2021,925.0755615,954.7514714,918.5536066,952.78808,30532660
1/25/2021,876.0595093,918.4633177,871.9974047,918.4633177,54207104
1/27/2021,855.2976685,868.838037,852.1382869,868.838037,42370131
1/28/2021,846.9703369,868.070704,844.014028,848.5951548,34067814
1/29/2021,831.3538818,863.4670185,825.960286,854.9817319,43712383
2/1/2021,855.4331665,859.8111618,834.0845374,839.2298742,34180952
2/2/2021,869.1990967,875.6081737,837.2213427,863.9860695,41470034
2/3/2021,871.3881836,881.0243335,857.5544279,870.3275153,30301696
2/4/2021,868.5220337,875.6081378,859.8110521,868.3865924,25626981
2/5/2021,868.2738647,877.7070019,866.5813559,871.117356,20248046
2/8/2021,880.776001,888.6970773,870.6658976,872.4712241,21183400
2/9/2021,882.8973999,897.9948962,881.1597639,885.5152551,19604141
2/10/2021,891.0892334,895.8058016,869.8760479,881.8141616,21234156
2/11/2021,927.8286743,931.6651427,890.163999,893.661894,42539278
2/12/2021,921.4648438,937.8937723,909.6396063,927.7385398,30497029
2/15/2021,917.40271,930.3563062,913.9725054,924.3759968,15791099
2/16/2021,929.5438843,938.52563,918.4859292,920.6298294,21421660
2/17/2021,940.2632446,945.9952941,925.5268269,929.7694401,23742994
2/18/2021,933.244873,951.6145682,929.3632773,941.0531321,18646877
2/19/2021,938.9317627,950.0574078,926.7454494,928.4154542,23403483
2/22/2021,906.3447266,943.2647459,900.4096043,938.7964367,23804335
2/23/2021,913.2728271,926.5649358,908.8270819,924.353345,25644108
2/24/2021,930.2208862,932.1390907,914.4914902,916.2291859,10807663
2/25/2021,967.8403931,971.293161,935.636944,936.9909987,34855693
2/26/2021,941.4141846,963.1238291,934.5988435,955.4961388,37481215
3/1/2021,948.5905151,953.2393924,930.8977887,952.4269238,17680764
3/2/2021,950.531311,961.3635697,942.9036207,957.7528566,17150760
3/3/2021,993.9055176,1001.939472,951.0729424,957.324074,31924461
3/4/2021,982.0578003,988.4217505,973.8659,983.9308776,21435754
3/5/2021,983.3441162,998.3513583,971.7671384,973.0986297,25511666
3/8/2021,988.9407959,1007.355618,978.5147414,978.7403774,19506841
3/9/2021,988.9181519,999.186261,968.8559483,992.9576928,15154484
3/10/2021,984.8109741,999.7730887,979.5302559,996.1171885,11519358
3/12/2021,964.7938843,995.8463528,958.610443,990.7010163,16864952
3/15/2021,951.840271,969.8940162,939.022057,965.8996621,16698099
3/16/2021,948.0940552,959.5582137,945.79221,954.1420546,13873801
3/17/2021,927.6707153,949.1772868,918.5309656,946.9431324,19210236
3/18/2021,906.7960815,940.9628627,903.1401815,935.5918307,20647480
3/19/2021,939.6990356,945.9501673,894.9256926,898.6267197,41787429
3/22/2021,930.8527832,936.0883744,917.6735507,934.7343793,18572478
3/23/2021,942.1815186,952.2013688,927.964182,930.6496683,17421165
3/24/2021,924.0374756,938.6835805,920.9232211,938.6835805,16822814
3/25/2021,898.829895,927.0614969,895.9187129,927.0614969,22001648
3/26/2021,900.2741089,908.872213,890.8184686,908.1049313,20180202
3/30/2021,915.913208,924.7595716,898.8749446,906.2995627,20441701
3/31/2021,904.0879517,925.2108827,902.2374381,910.8130383,16250796
4/1/2021,912.5507202,916.2291839,904.1105609,910.8130842,11723312
4/5/2021,899.348938,913.972479,885.5829331,913.9499154,14875099
4/6/2021,895.6027222,904.9229808,888.6971268,904.4942127,14009194
4/7/2021,903.9751587,923.8569133,899.6648546,902.6888544,24266353
4/8/2021,905.1035156,912.6183881,899.5294112,907.6536202,15369188
4/9/2021,894.5872192,905.5548598,893.6619326,901.9892738,14037885
4/12/2021,862.5869141,885.2669734,857.6672732,884.1837415,20901482
4/13/2021,871.9070435,875.8788931,865.6107852,868.3865254,19411189
